ensembl_id,Adipocyte progenitor cells,Adipocytes,Airway smooth muscle cells,Chondrocytes,Fibroblasts,Monocytes,Myoblasts,Myocytes,Myoepithelial cells,Myofibroblasts,Pulmonary vascular smooth muscle cells,Satellite cells,Smooth muscle cells,Stromal cells,Vascular smooth muscle cells,other
ENSG00000107796,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0
ENSG00000103241,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000182158,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000124813,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000110693,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000168036,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000106571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000167081,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000115415,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000112715,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000167244,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000162512,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000134531,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000142156,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000139329,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
ENSG00000185559,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000154645,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000128272,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000111341,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196628,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000085224,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000151702,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000122884,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005844,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
ENSG00000108515,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
ENSG00000150867,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000112837,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ENSG00000204291,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
ENSG00000124205,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000123243,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000157227,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000106819,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000130635,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000187955,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204262,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000166147,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000141756,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000129116,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
ENSG00000250786,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000140937,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
ENSG00000186635,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000116132,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000184232,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000163359,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000182326,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000166923,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000159674,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ENSG00000140479,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197467,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000169031,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000081052,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196569,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
ENSG00000144476,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ENSG00000154237,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000111799,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005102,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000118762,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000012061,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000162733,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000049540,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000115414,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
ENSG00000164692,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000168542,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000026025,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000163430,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000148180,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000113140,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196154,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
ENSG00000108821,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000149257,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000026508,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
ENSG00000011465,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000120738,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000125740,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000075426,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000100644,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000127528,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000136826,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000067082,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000119138,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000102908,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000131196,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000109320,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000123358,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000153234,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000185630,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000159216,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
ENSG00000168610,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000169554,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000135862,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000091136,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
ENSG00000050165,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000138685,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000178467,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000136026,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000168769,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000135636,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000170430,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000122861,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000117228,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000188313,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000204287,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000119917,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000152518,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000038427,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000142089,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000261371,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
ENSG00000081237,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000197746,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000144802,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000138744,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000254087,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000025708,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000143669,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000122180,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ENSG00000091879,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000198467,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ENSG00000175084,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0
ENSG00000129910,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
ENSG00000014216,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000111046,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ENSG00000111049,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
ENSG00000129152,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
ENSG00000135903,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
ENSG00000009709,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
ENSG00000155657,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ENSG00000030304,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000128591,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ENSG00000160867,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000196182,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000157764,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000126778,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
ENSG00000121440,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000159251,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ENSG00000115641,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ENSG00000143632,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000159173,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000130598,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000105048,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000130595,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000114854,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000101470,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000077522,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000148677,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ENSG00000134852,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000198947,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ENSG00000135424,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ENSG00000122367,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000092054,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000188554,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000183091,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000145819,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000182533,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000198719,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000150760,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000147459,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000144711,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000005884,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000105357,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000074181,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
ENSG00000075651,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000065675,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000169398,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000089159,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
ENSG00000137573,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000038382,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000181404,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000115935,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000136574,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000068305,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000116604,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000121577,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000180209,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000168530,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000104879,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000173991,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000113296,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000164879,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000196549,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ENSG00000073282,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000133392,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
ENSG00000112559,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000065534,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
ENSG00000101335,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
ENSG00000079308,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000122786,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000149591,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
ENSG00000141736,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000164916,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000105976,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000004948,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000164122,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000005513,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000164056,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000198300,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000101096,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000168310,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000163909,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000149294,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000105974,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000186834,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000143248,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000186575,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000154358,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000178104,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000136153,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000162614,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000272573,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000166592,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000213949,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000072195,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000024422,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000114166,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000174099,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000105221,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000196323,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000198373,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000123096,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000170962,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000150961,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000145949,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000129250,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000149596,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000144668,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000104936,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000077943,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000172037,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000106809,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000183963,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000198523,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000118257,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000115232,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000138448,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000162804,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000187498,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000112175,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
