submitter	submitter_binary	copykat_euclidian	copykat_pearson	copykat_spearman
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Lymphocyte	Normal	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Neuron	Normal	diploid	diploid	diploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	diploid
Vascular Endothelium	Normal	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	diploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-A	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-D	Tumor	diploid	aneuploid	aneuploid
Tumor_Mesoderm	Tumor	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-A	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Monocyte	Normal	diploid	diploid	aneuploid
Lymphocyte	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myocyte-A	Tumor	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-D	Tumor	diploid	diploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-A	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-A	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	diploid
Monocyte	Normal	diploid	diploid	diploid
Fibroblast	Normal	diploid	diploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Monocyte	Normal	diploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Mesoderm	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Vascular Endothelium	Normal	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	diploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Fibroblast	Normal	diploid	diploid	diploid
Tumor_Myoblast-A	Tumor	diploid	aneuploid	aneuploid
Monocyte	Normal	diploid	diploid	diploid
Tumor_Myoblast-D	Tumor	diploid	aneuploid	diploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Mesoderm	Tumor	diploid	aneuploid	aneuploid
Monocyte	Normal	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-A	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-D	Tumor	diploid	diploid	diploid
Fibroblast	Normal	diploid	diploid	diploid
Tumor_Mesoderm	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Neuron	Normal	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Neuron	Normal	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	diploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-D	Tumor	diploid	aneuploid	aneuploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	aneuploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Vascular Endothelium	Normal	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	aneuploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	diploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-D	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	diploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	diploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Lymphocyte	Normal	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-D	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	diploid
Neuron	Normal	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Mesoderm	Tumor	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Monocyte	Normal	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Monocyte	Normal	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	diploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	diploid	aneuploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-B	Tumor	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	diploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Vascular Endothelium	Normal	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
Tumor_Mesoderm	Tumor	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
Tumor_Myoblast-D	Tumor	diploid	diploid	diploid
Monocyte	Normal	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-B	Tumor	diploid	diploid	diploid
Neuron	Normal	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-B	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	diploid	aneuploid
Vascular Endothelium	Normal	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-D	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-D	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Monocyte	Normal	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	diploid	aneuploid
Tumor_Myoblast-D	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Lymphocyte	Normal	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	diploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Mesoderm	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-D	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	aneuploid
Fibroblast	Normal	aneuploid	aneuploid	aneuploid
Neuron	Normal	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
Monocyte	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
NA	NA	aneuploid	aneuploid	aneuploid
NA	NA	aneuploid	aneuploid	aneuploid
NA	NA	diploid	diploid	diploid
NA	NA	diploid	diploid	diploid
NA	NA	diploid	diploid	diploid
NA	NA	diploid	diploid	diploid
NA	NA	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
NA	NA	diploid	diploid	diploid
NA	NA	diploid	diploid	diploid
NA	NA	diploid	aneuploid	aneuploid
NA	NA	diploid	aneuploid	aneuploid
NA	NA	diploid	diploid	diploid
NA	NA	diploid	diploid	diploid
NA	NA	diploid	aneuploid	diploid
NA	NA	diploid	diploid	diploid
NA	NA	diploid	aneuploid	diploid
NA	NA	diploid	aneuploid	diploid
NA	NA	diploid	aneuploid	aneuploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
NA	NA	diploid	aneuploid	diploid
NA	NA	diploid	diploid	diploid
Neuron	Normal	diploid	diploid	diploid
NA	NA	diploid	aneuploid	diploid
Lymphocyte	Normal	diploid	diploid	diploid
NA	NA	diploid	diploid	diploid
NA	NA	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Vascular Endothelium	Normal	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	diploid
Tumor_Myocyte-A	Tumor	diploid	diploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-D	Tumor	diploid	diploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-D	Tumor	diploid	aneuploid	diploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Mesoderm	Tumor	diploid	aneuploid	diploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-B	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Mesoderm	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
Tumor_Myoblast-D	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Monocyte	Normal	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Mesoderm	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Mesoderm	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
Monocyte	Normal	diploid	diploid	diploid
Tumor_Myoblast-D	Tumor	diploid	aneuploid	diploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
NA	NA	diploid	aneuploid	diploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
NA	NA	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
NA	NA	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
Vascular Endothelium	Normal	diploid	diploid	aneuploid
Monocyte	Normal	diploid	aneuploid	diploid
Tumor_Mesoderm	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
NA	NA	aneuploid	aneuploid	aneuploid
NA	NA	diploid	aneuploid	diploid
NA	NA	diploid	diploid	diploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
NA	NA	aneuploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
Tumor_Myoblast-D	Tumor	diploid	aneuploid	aneuploid
Tumor_Myocyte-B	Tumor	diploid	diploid	diploid
Tumor_Myoblast-D	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
NA	NA	diploid	aneuploid	aneuploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
Tumor_Myoblast-D	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Monocyte	Normal	diploid	diploid	diploid
Monocyte	Normal	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	diploid
Tumor_Myocyte-A	Tumor	diploid	diploid	diploid
Tumor_Myoblast-D	Tumor	diploid	aneuploid	aneuploid
Monocyte	Normal	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	aneuploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-B	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	aneuploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myoblast-C	Tumor	diploid	diploid	diploid
Tumor_Myocyte-A	Tumor	diploid	aneuploid	aneuploid
Monocyte	Normal	diploid	aneuploid	diploid
Monocyte	Normal	aneuploid	aneuploid	aneuploid
Vascular Endothelium	Normal	aneuploid	aneuploid	aneuploid
